date,site,variable,data
2016-12-01,Zanzibar Channel,rainfall,26.2
2017-01-01,Zanzibar Channel,rainfall,6.3
2017-02-01,Zanzibar Channel,rainfall,97
2017-03-01,Zanzibar Channel,rainfall,108.9
2017-04-01,Zanzibar Channel,rainfall,239.4
2017-05-01,Zanzibar Channel,rainfall,363.1
2017-06-01,Zanzibar Channel,rainfall,23.3
2017-07-01,Zanzibar Channel,rainfall,4.8
2017-08-01,Zanzibar Channel,rainfall,13.2
2017-09-01,Zanzibar Channel,rainfall,39.5
2017-10-01,Zanzibar Channel,rainfall,195.3
2017-11-01,Zanzibar Channel,rainfall,111.9
2017-12-01,Zanzibar Channel,rainfall,45.9
2003-01-01,Mafia Channel,tmax,31.9
2003-02-01,Mafia Channel,tmax,33.7
2003-03-01,Mafia Channel,tmax,34.1
2003-04-01,Mafia Channel,tmax,33.3
2003-05-01,Mafia Channel,tmax,31.5
2003-06-01,Mafia Channel,tmax,30.7
2003-07-01,Mafia Channel,tmax,30.7
2003-08-01,Mafia Channel,tmax,31.1
2003-09-01,Mafia Channel,tmax,31.8
2003-10-01,Mafia Channel,tmax,32.4
2003-11-01,Mafia Channel,tmax,33.6
2003-12-01,Mafia Channel,tmax,34.1
2004-01-01,Mafia Channel,tmax,34.4
2004-02-01,Mafia Channel,tmax,32.8
2004-03-01,Mafia Channel,tmax,33.2
2004-04-01,Mafia Channel,tmax,31.2
